test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,64,0,43.14,0.00,0.00
CPUStress,64,10,99.30,0.00,0.00
CPUStress,64,20,123.02,0.00,0.00
CPUStress,64,30,140.25,0.00,0.00
CPUStress,64,40,160.10,0.00,0.00
CPUStress,64,50,177.15,0.00,0.00
CPUStress,64,60,192.61,0.00,0.00
CPUStress,64,70,203.70,0.00,0.00
CPUStress,64,80,215.52,0.00,0.00
CPUStress,64,90,221.04,0.00,0.00
CPUStress,64,100,221.21,0.00,0.00
VMStress,64,0,199.16,0.00,0.00
VMStress,64,10,158.30,0.00,0.00
VMStress,64,20,139.57,0.00,0.00
VMStress,64,30,120.94,0.00,0.00
VMStress,64,40,117.58,0.00,0.00
VMStress,64,50,113.85,0.00,0.00
VMStress,64,60,112.94,0.00,0.00
VMStress,64,70,106.65,0.00,0.00
VMStress,64,80,105.31,0.00,0.00
VMStress,64,90,103.55,0.00,0.00
VMStress,64,100,106.36,0.00,0.00
maximize,64,0,221.36,0.00,0.00
maximize,64,10,225.16,0.00,0.00
maximize,64,20,224.42,0.00,0.00
maximize,64,30,225.30,0.00,0.00
maximize,64,40,224.03,0.00,0.00
maximize,64,50,227.64,0.00,0.00
maximize,64,60,225.88,0.00,0.00
maximize,64,70,226.53,0.00,0.00
maximize,64,80,222.81,0.00,0.00
maximize,64,90,223.26,0.00,0.00
maximize,64,100,226.29,0.00,0.00
