test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,64,0,58.39,0.00,0.00
CPUStress,64,10,110.10,0.00,0.00
CPUStress,64,20,146.65,0.00,0.00
CPUStress,64,30,171.47,0.00,0.00
CPUStress,64,40,190.64,0.00,0.00
CPUStress,64,50,212.92,0.00,0.00
CPUStress,64,60,232.34,0.00,0.00
CPUStress,64,70,250.88,0.00,0.00
CPUStress,64,80,259.71,0.00,0.00
CPUStress,64,90,257.80,0.00,0.00
CPUStress,64,100,254.53,0.00,0.00
VMStress,64,0,158.36,0.00,0.00
VMStress,64,10,159.27,0.00,0.00
VMStress,64,20,156.66,0.00,0.00
VMStress,64,30,156.60,0.00,0.00
VMStress,64,40,157.76,0.00,0.00
VMStress,64,50,158.26,0.00,0.00
VMStress,64,60,157.20,0.00,0.00
VMStress,64,70,154.89,0.00,0.00
VMStress,64,80,156.84,0.00,0.00
VMStress,64,90,155.97,0.00,0.00
VMStress,64,100,154.39,0.00,0.00
maximize,64,0,245.82,0.00,0.00
maximize,64,10,251.89,0.00,0.00
maximize,64,20,255.07,0.00,0.00
maximize,64,30,255.45,0.00,0.00
maximize,64,40,254.82,0.00,0.00
maximize,64,50,258.76,0.00,0.00
maximize,64,60,255.67,0.00,0.00
maximize,64,70,259.38,0.00,0.00
maximize,64,80,254.58,0.00,0.00
maximize,64,90,256.62,0.00,0.00
maximize,64,100,248.67,0.00,0.00
