test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,12,0,6.86,4.31,29.20
CPUStress,12,10,39.08,7.23,34.80
CPUStress,12,20,54.30,8.39,38.30
CPUStress,12,30,60.53,8.63,42.70
CPUStress,12,40,66.74,8.75,44.70
CPUStress,12,50,70.52,8.78,47.70
CPUStress,12,60,74.08,8.78,50.10
CPUStress,12,70,76.51,8.78,51.70
CPUStress,12,80,79.66,8.76,54.30
CPUStress,12,90,82.12,8.75,55.80
CPUStress,12,100,82.92,8.78,56.10
VMStress,12,0,74.14,20.20,50.20
VMStress,12,10,73.50,20.35,50.60
VMStress,12,20,73.88,20.48,50.80
VMStress,12,30,73.85,20.59,50.70
VMStress,12,40,73.99,20.75,50.90
VMStress,12,50,73.98,20.61,51.30
VMStress,12,60,74.24,20.66,51.10
VMStress,12,70,73.57,20.52,51.20
VMStress,12,80,73.83,20.67,51.40
VMStress,12,90,74.06,20.79,51.70
VMStress,12,100,74.05,20.66,51.20
maximize,12,0,83.41,12.47,57.70
maximize,12,10,83.57,12.43,58.40
maximize,12,20,83.44,12.65,58.30
maximize,12,30,84.06,12.41,59.30
maximize,12,40,83.83,12.71,59.80
maximize,12,50,84.11,12.66,60.40
maximize,12,60,84.03,12.64,59.50
maximize,12,70,83.41,12.39,59.10
maximize,12,80,83.65,12.56,59.80
maximize,12,90,83.94,12.62,60.70
maximize,12,100,83.71,12.57,59.80
