test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,64,0,120.68,0.99,57.50
CPUStress,64,10,225.17,1.09,63.00
CPUStress,64,20,254.79,1.07,65.50
CPUStress,64,30,268.15,1.10,66.40
CPUStress,64,40,291.57,1.16,68.10
CPUStress,64,50,292.49,1.13,67.70
CPUStress,64,60,316.43,1.11,69.30
CPUStress,64,70,316.93,1.10,70.00
CPUStress,64,80,317.43,1.07,71.10
CPUStress,64,90,328.79,1.08,72.80
CPUStress,64,100,317.63,0.97,73.40
ipsec,64,100,286.53,0.93,71.90
VMStress,64,100,321.69,3.39,72.50
maximize,64,100,342.13,5.15,76.00
