test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,64,0,42.76,0.00,0.00
CPUStress,64,10,98.12,0.00,0.00
CPUStress,64,20,123.62,0.00,0.00
CPUStress,64,30,143.02,0.00,0.00
CPUStress,64,40,161.61,0.00,0.00
CPUStress,64,50,177.12,0.00,0.00
CPUStress,64,60,190.54,0.00,0.00
CPUStress,64,70,204.63,0.00,0.00
CPUStress,64,80,216.35,0.00,0.00
CPUStress,64,90,221.06,0.00,0.00
CPUStress,64,100,223.00,0.00,0.00
VMStress,64,0,202.72,0.00,0.00
VMStress,64,10,164.68,0.00,0.00
VMStress,64,20,133.44,0.00,0.00
VMStress,64,30,128.51,0.00,0.00
VMStress,64,40,121.00,0.00,0.00
VMStress,64,50,117.86,0.00,0.00
VMStress,64,60,112.45,0.00,0.00
VMStress,64,70,102.38,0.00,0.00
VMStress,64,80,110.66,0.00,0.00
VMStress,64,90,106.63,0.00,0.00
VMStress,64,100,102.85,0.00,0.00
maximize,64,0,223.31,0.00,0.00
maximize,64,10,224.57,0.00,0.00
maximize,64,20,223.37,0.00,0.00
maximize,64,30,226.78,0.00,0.00
maximize,64,40,225.55,0.00,0.00
maximize,64,50,227.11,0.00,0.00
maximize,64,60,225.28,0.00,0.00
maximize,64,70,227.01,0.00,0.00
maximize,64,80,226.16,0.00,0.00
maximize,64,90,226.62,0.00,0.00
maximize,64,100,226.32,0.00,0.00
