test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,64,0,58.21,0.00,0.00
CPUStress,64,10,108.60,0.00,0.00
CPUStress,64,20,147.38,0.00,0.00
CPUStress,64,30,170.64,0.00,0.00
CPUStress,64,40,195.46,0.00,0.00
CPUStress,64,50,215.90,0.00,0.00
CPUStress,64,60,235.89,0.00,0.00
CPUStress,64,70,252.96,0.00,0.00
CPUStress,64,80,258.04,0.00,0.00
CPUStress,64,90,259.11,0.00,0.00
CPUStress,64,100,258.44,0.00,0.00
VMStress,64,0,160.10,0.00,0.00
htop[36mINFO[0m[0198] [turbostat -q -c package --num_iterations 1 --interval 1.000000 --show PkgWatt,RAMWatt,PkgTmp] 
VMStress,64,10,159.49,0.00,0.00
VMStress,64,20,158.71,0.00,0.00
VMStress,64,30,157.43,0.00,0.00
VMStress,64,40,158.14,0.00,0.00
VMStress,64,50,158.00,0.00,0.00
VMStress,64,60,157.84,0.00,0.00
VMStress,64,70,157.90,0.00,0.00
VMStress,64,80,157.06,0.00,0.00
VMStress,64,90,156.73,0.00,0.00
VMStress,64,100,158.02,0.00,0.00
maximize,64,0,239.32,0.00,0.00
maximize,64,10,246.48,0.00,0.00
maximize,64,20,255.68,0.00,0.00
maximize,64,30,243.11,0.00,0.00
maximize,64,40,249.70,0.00,0.00
maximize,64,50,253.43,0.00,0.00
maximize,64,60,250.37,0.00,0.00
maximize,64,70,255.23,0.00,0.00
maximize,64,80,255.60,0.00,0.00
maximize,64,90,256.45,0.00,0.00
maximize,64,100,251.70,0.00,0.00
